51° 23.355021130817875,6° 48.4043726071142
51° 23.35498571623546,6° 48.404638452272465
51° 23.354950011851372,6° 48.404904200237
51° 23.35491401838226,6° 48.40516984566005
51° 23.354877735325488,6° 48.40543539226955
51° 23.35484116341007,6° 48.40570083472072
51° 23.354804302123142,6° 48.40596617673867
51° 23.35476715220608,6° 48.406231412983054
51° 23.354729713137914,6° 48.40649654717589
51° 23.35469198567239,6° 48.40676157398151
51° 23.354653969279582,6° 48.40702649711886
51° 23.354615664724747,6° 48.40729131125529
51° 23.354577071470715,6° 48.40755602010822
51° 23.354538190293823,6° 48.40782061835115
51° 23.354499020648376,6° 48.40808510969385
51° 23.354459563323502,6° 48.408349488815915
51° 23.354419817764125,6° 48.40861375942552
51° 23.354379784770884,6° 48.40887791620698
51° 23.354339463782736,6° 48.40914196286384
51° 23.3542988556097,6° 48.40940589408339
51° 23.35425795968348,6° 48.40966971356927
51° 23.35421677682561,6° 48.40993341601332
51° 23.35417530645927,6° 48.410197005113034
51° 23.354133549060663,6° 48.41046047781514
51° 23.354091504757264,6° 48.41072383331511
51° 23.354049174402576,6° 48.41098706631995
51° 23.354006556679252,6° 48.41125018501414
51° 23.35396365243909,6° 48.41151318410315
51° 23.353920461810418,6° 48.41177606278251
51° 23.353876985671462,6° 48.412038815769876
51° 23.353833222669067,6° 48.41230145123296
51° 23.353789173677626,6° 48.41256396388799
51° 23.35374483883058,6° 48.4128263529349
51° 23.35370021902662,6° 48.41308861309457
51° 23.353655312878914,6° 48.41335075252702
51° 23.353610121283168,6° 48.41361276595302
51° 23.353564644377087,6° 48.4138746525756
51° 23.35351888308324,6° 48.41413640712632
51° 23.35347283597855,6° 48.4143980377484
51° 23.353426503981325,6° 48.41465953917323
51° 23.35337988723353,6° 48.41492091060552
51° 23.35333298668118,6° 48.41518214678892
51° 23.35328580086326,6° 48.41544325584836
51° 23.353238330723656,6° 48.41570423252751
51° 23.353190576406462,6° 48.41596507602945
51° 23.353142538879865,6° 48.41622578111162
51° 23.35309421665002,6° 48.41648635588058
51° 23.35304561068213,6° 48.41674679509232
51° 23.352996721123702,6° 48.417007097949835
51° 23.35294754896509,6° 48.41726725922278
51° 23.352898092678345,6° 48.41752728700097
51° 23.352848353249982,6° 48.417787176049494
51° 23.352798330833053,6° 48.41804692557602
