51° 23.357078151275203,6° 48.37199028602241
51° 35.59752846474666,6° 50.57900369931927
51° 35.69239979231838,6° 50.61365837162061
51° 35.78706621421475,6° 50.6485947892252
51° 35.88173263611111,6° 50.68378733892372
51° 35.97639905800747,6° 50.719261633925484
51° 36.07106547990384,6° 50.754992061021085
51° 36.1657319018002,6° 50.790978620210616
51° 36.2601934180212,6° 50.827246924703346
51° 36.35465493424263,6° 50.863771361290006
51° 36.44911645046406,6° 50.90057754317991
51° 36.54357796668506,6° 50.9376398571637
51° 36.63803948290649,6° 50.97498391645074
51° 36.73229609345256,6° 51.01258410783166
51° 36.82655270399863,6° 51.050440431306455
51° 36.920809314545124,6° 51.088578500084495
51° 37.01506592509119,6° 51.12697270095643
51° 37.10932253563726,6° 51.165648647131654
51° 37.203374240508396,6° 51.20458072540071
